"name","brand_name","application_number","Action_Date","submission_class_code_description","New_Ind_in_Skin_Ca_Y_N","Indication_brief","Dz","N","substance_name","generic_name","manufacturer_name","marketing_status","reference_drug","product_number","dosage_form","route","strength","submission_number","submission_status","submission_type","submission_status_date","review_priority","submission_class_code","Subjects_Enrolled","Drug_Approval","BLA_NDA","Indication","Notes","Trial","Endpoint","END","Endpoint_shortened","EndpointNum","EE Var","EE Raw","Effect_Estimate","Major Efficacy Outcome Measure","Hazard_Ratio","Response_Rate","lb_95CI_proposed","lb_95CI","ub_95CI","Tool","Toolshort","ToolNum","Subm_Class_Skin_Confirmed_yes_no","NTE_Skin_confirmed","SingleArmNum_N_Y","RR_used_n_y","Placebo_Controlled_Trial","Comparator_Study_Placebo_Observation_or_Active_Comparator_N_Y","Regular_Approval","Accelerated_Approval","RANum","Mechanism","Mechanism_long","Mechanistic_Class","DESI_Drug","Other"
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2016-09-28,"Labeling",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","88","AP","SUPPL",2016-09-28,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2017-11-09,"Efficacy","Yes","CD30+ MF and pcALCL in the second line","CTCL","128","BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","94","AP","SUPPL",2017-11-09,"PRIORITY","EFFICACY","128|
(T=66|
C=62)","Brentuximab vedotin (ADCETRIS™)","BLA125388","A new indication for adult patients with primary cutaneous anaplastic large cell lymphoma or CD30-expressing mycosis fungoides who have received prior systemic therapy","Did of breakthrough not confirmed, but around 11/10/19","A randomized, open-label, multicenter clinical trial ADCETRIS vs. mtx or bexarotene","Objective Response Rate(Durable ≥4 mo(ORR4))(Prim)
CR rate/PFS (Sec)","DRR","Durable Response Rate",8,"DRR4 Diff","56.3% vs. 12.5%","43.8","RR: 56.3%",NA,"RR: 56.3%",NA,NA,NA,"Global Response Criteria","GRS","9","Yes",0,0,"1",0,1,"Yes","No","1","CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2018-03-20,"Efficacy",NA,"untreated HL","HL",NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","97","AP","SUPPL",2018-03-20,"PRIORITY","EFFICACY",NA,NA,NA,"A new indication for adult patients with previously untreated Stage III or IV classical Hodgkin lymphoma, in combination with chemotherapy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2018-11-16,"Efficacy",NA,"PTCL and sALCL","PTCL",NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","99","AP","SUPPL",2018-11-16,"PRIORITY","EFFICACY",NA,NA,NA,"A new indication for the treatment of adult patients with previously untreated systemic anaplastic large cell lymphoma or other CD30-expressing peripheral T-cell lymphomas (PTCL), including
angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified, in combination with cyclophosphamide, doxorubicin, and prednisone.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"BRENTUXIMAB VEDOTIN","ADCETRIS","BLA125388",2019-10-15,"Labeling",NA,NA,NA,NA,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","SEAGEN INC.","Prescription","No","001","INJECTABLE","INJECTION","50MG/VIAL","100","AP","SUPPL",2019-10-15,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD30 Ab","CD30 Targeted Antibody","Targeted Therapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",1997-02-27,"Type 1 - New Molecular Entity",NA,"Genital Warts",NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","1","AP","ORIG",1997-02-27,"STANDARD","TYPE 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",1997-11-07,"Manufacturing (CMC)",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","2","AP","SUPPL",1997-11-07,"STANDARD","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",1997-12-08,"Manufacturing (CMC)",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","3","AP","SUPPL",1997-12-08,"STANDARD","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",1998-02-20,"Manufacturing (CMC)",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","4","AP","SUPPL",1998-02-20,"STANDARD","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2000-03-07,"Manufacturing (CMC)",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","6","AP","SUPPL",2000-03-07,"STANDARD","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2000-03-07,"Manufacturing (CMC)",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","7","AP","SUPPL",2000-03-07,"STANDARD","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2000-09-27,"Manufacturing (CMC)",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","8","AP","SUPPL",2000-09-27,"STANDARD","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2001-03-28,"Manufacturing (CMC)",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","9","AP","SUPPL",2001-03-28,"STANDARD","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2001-12-08,"Labeling",NA,"Genital Warts",NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","1","AP","SUPPL",2001-12-08,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2002-09-03,"Labeling",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","11","AP","SUPPL",2002-09-03,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2002-09-03,"Labeling",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","12","AP","SUPPL",2002-09-03,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2002-12-15,"Labeling",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","10","AP","SUPPL",2002-12-15,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2004-03-02,"Efficacy","Yes","Nonhypertrophic Actinic Keratoses on the Face or Scalp","AK","436","IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","15","AP","SUPPL",2004-03-02,"STANDARD","EFFICACY","436|
(T=215|
C=221)","Imiquimod 5% Cream (ALDARA™)","NDA020723","Aldara Cream is indicated for the topical treatment of clinically typical, nonhyperkeratotic, nonhypertrophic actinic keratoses on the face or scalp in immunocompetent adults.",NA,"In two double-blind, vehicle-controlled clinical studies, 436 patients with actinic keratosis (AK) were treated with Aldara Cream or vehicle cream 2 times per week for 16 weeks","Complete Clearance Rate at 8 weeks post treatment","CCR","Complete Clearance Rate",5,"RR diff","CRR 45.1% (97/215) vs. 3.2% (7/221)","41.9","CRR: 46% (Study A) |
CCR: 44% (Study B)",NA,"CRR: 46% (Study A) |
CCR: 44% (Study B)",NA,NA,NA,"Investigator Assessment of 25 cm2 area","Clinical","1","Yes",0,0,"1",1,1,"Yes","No","1","TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2004-07-14,"Efficacy","Yes","Superficial Basal Cell Carcinoma","BCC","364","IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","16","AP","SUPPL",2004-07-14,"UNKNOWN","EFFICACY","364|
(T=185|
C=179)","Imiquimod 5% Cream (ALDARA™)","NDA020723","Aldara Cream is indicated for the topical treatment of biopsy-confirmed, primary superficial basal cell carcinoma (sBCC) in immunocompetent adults, with a maximum tumor diameter of 2.0 cm, located on the trunk (excluding anogenital skin), neck, or extremities (excluding hands and feet), only when surgical methods are medically less appropriate and patient follow-up can be reasonably assured. The histological diagnosis of superficial basal cell carcinoma should be established prior to treatment, since safety and effectiveness of Aldara Cream have not been established for other types of basal cell carcinomas, including nodular, morpheaform (fibrosing or sclerosing) types.","Although there is a link to a ""review"" it does not provide the documents, only the labeling info","In two double-blind, vehicle-controlled clinical studies, 364 patients with primary superficial
basal cell carcinoma (sBCC) were treated with Aldara Cream or vehicle cream 5X/week for 6
weeks","Complete Clearance Rate at 12 weeks post treatment","CCR","Complete Clearance Rate",5,"RR diff","CRR: 75% (139/185) vs. 2% (3/177) TYPO!!! Should be 179 but irrelevant since I am splitting apart","73","CCR: 70% (Study C) |
CCR: 80% (Study D)",NA,"CCR: 70% (Study C) |
CCR: 80% (Study D)",NA,NA,NA,"Composite Endpoint(clinical and histologic)","Composite","6","Yes",0,0,"1",1,1,"Yes","No","1","TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2005-08-09,"Labeling",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","18","AP","SUPPL",2005-08-09,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2007-03-22,"Efficacy",NA,"Updated safety data in pediatric population",NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","20","AP","SUPPL",2007-03-22,"PRIORITY","EFFICACY",NA,NA,NA,"This new drug application provides for the addition of pediatric safety data in the INDICATIONS and USAGE and USE IN SPECIFIC POPULATIONS:",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2010-10-14,"Labeling",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","22","AP","SUPPL",2010-10-14,"UNKNOWN","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2014-11-26,"Manufacturing (CMC)",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","25","AP","SUPPL",2014-11-26,"STANDARD","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"IMIQUIMOD","ALDARA","NDA020723",2015-02-03,"Manufacturing (CMC)",NA,NA,NA,NA,"IMIQUIMOD","IMIQUIMOD","Bausch Health US LLC","Prescription","Yes","001","CREAM","TOPICAL","5%","26","AP","SUPPL",2015-02-03,"STANDARD","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TLR Agonist","TLR Agonist","Immunotherapy",NA,NA
"AMINOLEVULINIC ACID HYDROCHLORIDE","AMELUZ","NDA208081",2016-05-10,"Type 3 - New Dosage Form","Yes","Actinic keratoses of mild-to-moderate severity on the face and scalp","AK","299","AMINOLEVULINIC ACID HYDROCHLORIDE","AMINOLEVULINIC ACID HYDROCHLORIDE","Biofrontera Inc.","Prescription","Yes","001","GEL","TOPICAL","10%","1","AP","ORIG",2016-05-10,"STANDARD","TYPE 3","299|
(T=212|
C=87)","Aminolevulinic HCL 10% Gel (AMELUZ®)","NDA208081","AMELUZ gel, a porphyrin precursor, in combination with photodynamic therapy using BF-RhodoLED lamp, is indicated for the lesion-directed and field-directed treatment of actinic keratoses of mild-to-moderate severity on the face and scalp",NA,"Three randomized, multicenter trials (Trials 1, 2, and 3). Trials 2 and 3 were vehicle-controlled and double-blind","Complete Clearance Rate at 12 Weeks","CCR","Complete Response Rate",5,NA,"Trial 1 - 106/125 (85%) |
Trial 2 - 27/32 (84%) |
Trial 3 - 50/55 (91%)",NA,"CCR: 85% (Trial 1) |
CCR: 84% (Trial 2) |
CCR: 91% (Trial 3)",NA,"CCR: 85% (Trial 1) |
CCR: 84% (Trial 2) |
CCR: 91% (Trial 3)",NA,NA,NA,"Investigator Assessment","Clinical","1",NA,NA,0,"1",1,1,"Yes","No","1","Phototoxic","Phototoxic Agent","Cytotoxic Agent",NA,NA
"AMINOLEVULINIC ACID HYDROCHLORIDE","AMELUZ","NDA208081",2017-09-06,"Labeling",NA,NA,NA,NA,"AMINOLEVULINIC ACID HYDROCHLORIDE","AMINOLEVULINIC ACID HYDROCHLORIDE","Biofrontera Inc.","Prescription","Yes","001","GEL","TOPICAL","10%","2","AP","SUPPL",2017-09-06,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phototoxic","Phototoxic Agent","Cytotoxic Agent",NA,NA
"AMINOLEVULINIC ACID HYDROCHLORIDE","AMELUZ","NDA208081",2021-05-25,"Labeling",NA,NA,NA,NA,"AMINOLEVULINIC ACID HYDROCHLORIDE","AMINOLEVULINIC ACID HYDROCHLORIDE","Biofrontera Inc.","Prescription","Yes","001","GEL","TOPICAL","10%","11","AP","SUPPL",2021-05-25,"STANDARD","LABELING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phototoxic","Phototoxic Agent","Cytotoxic Agent",NA,NA
"TRIAMCINOLONE","ARISTOCORT","NDA011161",1957-12-03,"Type 1 - New Molecular Entity","Yes","Mycosis Fungoides","CTCL",NA,"NULL","NULL","NULL","Discontinued","No","009","TABLET","ORAL","2MG, 4MG, 1MG, 16MG, 8MG","1","AP","ORIG",1957-12-03,"PRIORITY","TYPE 1",NA,"Triamcinolone (ARISTOCORT®)","NDA011161","Mycosis Fungoides","DESI Drug; efficacy not confirmed",NA,NA,"Missing",NA,NA,NA,"PI unavailable",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes","No","1","Glucocorticoid","Glucocorticoid","Glucocorticoid","Y","Tablet"
"TRIAMCINOLONE","ARISTOCORT","NDA011161",1979-08-06,"Manufacturing (CMC)",NA,NA,NA,NA,"NULL","NULL","NULL","Discontinued","No","009","TABLET","ORAL","2MG, 4MG, 1MG, 16MG, 8MG","40","AP","SUPPL",1979-08-06,"PRIORITY","MANUF (CMC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glucocorticoid","Glucocorticoid","Glucocorticoid",NA,NA
